region,year,month,PM2.5
中彰投,2016,1,697.63
北北基桃竹苗,2016,1,594.55
宜花東,2016,1,408.25
雲嘉南,2016,1,931.97
高屏,2016,1,920.09
中彰投,2016,2,853.74
北北基桃竹苗,2016,2,615.9
宜花東,2016,2,513.03
雲嘉南,2016,2,1054.06
高屏,2016,2,1052.14
中彰投,2016,3,976.35
北北基桃竹苗,2016,3,759.87
宜花東,2016,3,528.68
雲嘉南,2016,3,1177.21
高屏,2016,3,996.92
中彰投,2016,4,959.01
北北基桃竹苗,2016,4,883.01
宜花東,2016,4,559.18
雲嘉南,2016,4,958.1
高屏,2016,4,679.06
中彰投,2016,5,620.66
北北基桃竹苗,2016,5,596.73
宜花東,2016,5,358.85
雲嘉南,2016,5,617.95
高屏,2016,5,471.88
中彰投,2016,6,348.59
北北基桃竹苗,2016,6,359.42
宜花東,2016,6,252.4
雲嘉南,2016,6,318.41
高屏,2016,6,241.11
中彰投,2016,7,444.52
北北基桃竹苗,2016,7,415.13
宜花東,2016,7,288.17
雲嘉南,2016,7,389.67
高屏,2016,7,321.54
中彰投,2016,8,603.23
北北基桃竹苗,2016,8,433.33
宜花東,2016,8,332.45
雲嘉南,2016,8,572.55
高屏,2016,8,404.44
中彰投,2016,9,486.02
北北基桃竹苗,2016,9,383.91
宜花東,2016,9,307.36
雲嘉南,2016,9,510.85
高屏,2016,9,445.64
中彰投,2016,10,848.17
北北基桃竹苗,2016,10,450.71
宜花東,2016,10,281.47
雲嘉南,2016,10,835.55
高屏,2016,10,672.74
中彰投,2016,11,799.58
北北基桃竹苗,2016,11,486.41
宜花東,2016,11,373.2
雲嘉南,2016,11,987.9
高屏,2016,11,969.74
中彰投,2016,12,859.4
北北基桃竹苗,2016,12,546.86
宜花東,2016,12,455.62
雲嘉南,2016,12,1070.63
高屏,2016,12,1102.31
中彰投,2017,1,849.25
北北基桃竹苗,2017,1,564.1
宜花東,2017,1,444.74
雲嘉南,2017,1,1046.99
高屏,2017,1,1104.87
中彰投,2017,2,882.57
北北基桃竹苗,2017,2,626.35
宜花東,2017,2,510.58
雲嘉南,2017,2,1090.35
高屏,2017,2,1066.41
中彰投,2017,3,996.47
北北基桃竹苗,2017,3,675.13
宜花東,2017,3,528.53
雲嘉南,2017,3,1137.05
高屏,2017,3,1021.03
中彰投,2017,4,821.77
北北基桃竹苗,2017,4,698.27
宜花東,2017,4,496.66
雲嘉南,2017,4,865.55
高屏,2017,4,676.15
中彰投,2017,5,641.86
北北基桃竹苗,2017,5,513.59
宜花東,2017,5,343.85
雲嘉南,2017,5,703.76
高屏,2017,5,578.21
中彰投,2017,6,333.59
北北基桃竹苗,2017,6,370.13
宜花東,2017,6,277.28
雲嘉南,2017,6,313.23
高屏,2017,6,285.73
中彰投,2017,7,429.25
北北基桃竹苗,2017,7,377.56
宜花東,2017,7,243.53
雲嘉南,2017,7,433.03
高屏,2017,7,388.21
