平移量(月數),Spearman 係數,Pearson 係數,回歸斜率
1,-0.1567900860705927,-0.2887890399896664,-0.0019485860764131614
24,-0.15702908377053645,-0.28439759010761423,-0.0016379548904702894
0,-0.1616588681254265,-0.2738484483593948,-0.0018613549891388656
13,-0.18814081536279895,-0.3233464007799918,-0.002049900547014861
25,-0.19152247804216502,-0.31299244556286215,-0.0017510339175651393
36,-0.1948346045562374,-0.31642888655352014,-0.0016465572733378728
37,-0.20267320842417602,-0.32121277710015067,-0.0016712745065118897
12,-0.2110172351357598,-0.32296531308203463,-0.002071821229721674
2,-0.23547539281053448,-0.3523627107934236,-0.0023415895924037812
38,-0.245047900380365,-0.36583845437421486,-0.0019238747121808272
26,-0.2636758725806052,-0.37701863882972775,-0.002096404741563857
14,-0.27143525365767224,-0.3881649197152567,-0.0024226584032828328
23,-0.2738599409857389,-0.3463456883941958,-0.0020418979488521067
11,-0.29258816143367394,-0.3634472073013592,-0.0023269679215873916
35,-0.3046799025520883,-0.3818535693589607,-0.0019480331547753222
22,-0.3721519021944769,-0.40867152096361054,-0.002419180431088464
3,-0.3815009140612237,-0.4465824532776886,-0.0028871806177225203
15,-0.3975914235886909,-0.47288976799247295,-0.002875313252875229
10,-0.4090323777145686,-0.43847646572495974,-0.0028178083883321236
27,-0.4161435628480271,-0.4839820625357063,-0.0025807339995142647
34,-0.4216115966533184,-0.4560600611831324,-0.0022910399576287852
39,-0.4258374784088199,-0.4643725475394123,-0.002365856890999438
33,-0.5071871066067586,-0.5045197638023474,-0.0024931912237065494
21,-0.5081181401292661,-0.486138558239487,-0.002881657068648913
9,-0.5500555520955666,-0.5161593944921872,-0.003327698622808796
4,-0.5569497139406829,-0.5496732221140692,-0.0035303139486937436
20,-0.5603788252380583,-0.5424511809432154,-0.003244149212994654
16,-0.5643708671384445,-0.5651235450340144,-0.0033929486626075936
32,-0.5897596680813184,-0.5701248184492589,-0.0028980768900142544
28,-0.592358790042408,-0.5901044986650738,-0.0030554502203984806
8,-0.6331650037479549,-0.5833823129948086,-0.003802113195875615
29,-0.6593481197538292,-0.6441840573786044,-0.003289297363519745
17,-0.6894412590041221,-0.6456450340469243,-0.003881302812059995
19,-0.6911097399349317,-0.6368769094152206,-0.0038393341513977774
5,-0.6924968469972846,-0.6288987923072566,-0.004039877600784775
31,-0.7038861040604167,-0.6668975180805696,-0.0034673116645511566
7,-0.722567012371538,-0.6454632391741818,-0.00422766385995013
6,-0.7370748356630412,-0.6591376049365655,-0.00427363513869774
30,-0.7385252379164301,-0.6807808777098318,-0.003470473820936384
18,-0.7532248185941322,-0.6866399945723479,-0.004127553499418242
