ID1_CITY,year,week,case_c,case_per_capita(‰)
0101,2016,1,6,0.16
0101,2016,2,35,0.933
0101,2016,3,35,0.933
0101,2016,4,45,1.199
0101,2016,5,45,1.199
0101,2016,6,42,1.119
0101,2016,7,42,1.119
0101,2016,8,55,1.466
0101,2016,9,62,1.652
0101,2016,10,50,1.333
0101,2016,11,57,1.519
0101,2016,12,45,1.199
0101,2016,13,42,1.119
0101,2016,14,47,1.253
0101,2016,15,42,1.119
0101,2016,16,39,1.039
0101,2016,17,50,1.333
0101,2016,18,34,0.906
0101,2016,19,30,0.8
0101,2016,20,40,1.066
0101,2016,21,46,1.226
0101,2016,22,33,0.88
0101,2016,23,42,1.119
0101,2016,24,27,0.72
0101,2016,25,34,0.906
0101,2016,26,33,0.88
0101,2016,27,33,0.88
0101,2016,28,34,0.906
0101,2016,29,31,0.826
0101,2016,30,29,0.773
0101,2016,31,35,0.933
0101,2016,32,28,0.746
0101,2016,33,27,0.72
0101,2016,34,36,0.959
0101,2016,35,35,0.933
0101,2016,36,29,0.773
0101,2016,37,23,0.613
0101,2016,38,23,0.613
0101,2016,39,32,0.853
0101,2016,40,24,0.64
0101,2016,41,41,1.093
0101,2016,42,43,1.146
0101,2016,43,26,0.693
0101,2016,44,26,0.693
0101,2016,45,33,0.88
0101,2016,46,36,0.959
0101,2016,47,38,1.013
0101,2016,48,29,0.773
0101,2016,49,38,1.013
0101,2016,50,36,0.959
0101,2016,51,31,0.826
0101,2016,52,33,0.88
0101,2016,53,34,0.906
0101,2017,1,41,1.047
0101,2017,2,49,1.251
0101,2017,3,39,0.996
0101,2017,4,43,1.098
0101,2017,5,47,1.2
0101,2017,6,39,0.996
0101,2017,7,48,1.226
0101,2017,8,43,1.098
0101,2017,9,41,1.047
0101,2017,10,36,0.919
0101,2017,11,40,1.021
0101,2017,12,50,1.277
0101,2017,13,42,1.072
0101,2017,14,39,0.996
0101,2017,15,49,1.251
0101,2017,16,43,1.098
0101,2017,17,38,0.97
0101,2017,18,39,0.996
0101,2017,19,48,1.226
0101,2017,20,45,1.149
0101,2017,21,43,1.098
0101,2017,22,41,1.047
0101,2017,23,41,1.047
0101,2017,24,49,1.251
0101,2017,25,36,0.919
0101,2017,26,43,1.098
0101,2017,27,38,0.97
0101,2017,28,43,1.098
0101,2017,29,30,0.766
0101,2017,30,36,0.919
0101,2017,31,31,0.792
0101,2017,32,38,0.97
0101,2017,33,33,0.843
0101,2017,34,45,1.149
0101,2017,35,31,0.792
0101,2017,36,36,0.919
0101,2017,37,44,1.123
0101,2017,38,43,1.098
0101,2017,39,36,0.919
0101,2017,40,29,0.74
0101,2017,41,27,0.689
0101,2017,42,23,0.587
0101,2017,43,33,0.843
0101,2017,44,34,0.868
0101,2017,45,33,0.843
0101,2017,46,41,1.047
0101,2017,47,40,1.021
0101,2017,48,34,0.868
0101,2017,49,39,0.996
0101,2017,50,42,1.072
0101,2017,51,38,0.97
0101,2017,52,39,0.996
0101,2017,53,3,0.077
0101,2018,1,38,0.93
0101,2018,2,42,1.028
0101,2018,3,52,1.273
0101,2018,4,40,0.979
0101,2018,5,54,1.322
0101,2018,6,45,1.102
0101,2018,7,38,0.93
0101,2018,8,55,1.347
0101,2018,9,58,1.42
0101,2018,10,58,1.42
0101,2018,11,64,1.567
0101,2018,12,54,1.322
0101,2018,13,53,1.298
0101,2018,14,55,1.347
0101,2018,15,62,1.518
0101,2018,16,47,1.151
0101,2018,17,52,1.273
0101,2018,18,47,1.151
0101,2018,19,45,1.102
0101,2018,20,32,0.784
0101,2018,21,30,0.735
0101,2018,22,43,1.053
0101,2018,23,36,0.881
0101,2018,24,37,0.906
0101,2018,25,36,0.881
0101,2018,26,32,0.784
0101,2018,27,31,0.759
0101,2018,28,39,0.955
0101,2018,29,32,0.784
0101,2018,30,30,0.735
0101,2018,31,36,0.881
0101,2018,32,25,0.612
0101,2018,33,30,0.735
0101,2018,34,28,0.686
0101,2018,35,35,0.857
0101,2018,36,50,1.224
0101,2018,37,36,0.881
0101,2018,38,41,1.004
0101,2018,39,33,0.808
0101,2018,40,29,0.71
0101,2018,41,26,0.637
0101,2018,42,33,0.808
0101,2018,43,29,0.71
0101,2018,44,29,0.71
0101,2018,45,37,0.906
0101,2018,46,40,0.979
0101,2018,47,37,0.906
0101,2018,48,45,1.102
0101,2018,49,32,0.784
0101,2018,50,29,0.71
0101,2018,51,42,1.028
0101,2018,52,45,1.102
0101,2018,53,6,0.147
0101,2019,1,35,0.853
0101,2019,2,54,1.316
0101,2019,3,40,0.975
0101,2019,4,47,1.146
0101,2019,5,73,1.78
0101,2019,6,38,0.926
0101,2019,7,55,1.341
0101,2019,8,46,1.121
0101,2019,9,47,1.146
0101,2019,10,44,1.073
0101,2019,11,57,1.39
0101,2019,12,47,1.146
0101,2019,13,43,1.048
0101,2019,14,37,0.902
0101,2019,15,63,1.536
0101,2019,16,54,1.316
0101,2019,17,36,0.878
0101,2019,18,61,1.487
0101,2019,19,56,1.365
0101,2019,20,35,0.853
0101,2019,21,40,0.975
0101,2019,22,39,0.951
0101,2019,23,38,0.926
0101,2019,24,48,1.17
0101,2019,25,43,1.048
0101,2019,26,48,1.17
0101,2019,27,42,1.024
0101,2019,28,44,1.073
0101,2019,29,43,1.048
0101,2019,30,36,0.878
0101,2019,31,33,0.805
0101,2019,32,39,0.951
0101,2019,33,40,0.975
0101,2019,34,39,0.951
0101,2019,35,43,1.048
0101,2019,36,45,1.097
0101,2019,37,33,0.805
0101,2019,38,51,1.243
0101,2019,39,47,1.146
0101,2019,40,33,0.805
0101,2019,41,37,0.902
0101,2019,42,51,1.243
0101,2019,43,48,1.17
0101,2019,44,52,1.268
0101,2019,45,36,0.878
0101,2019,46,32,0.78
0101,2019,47,37,0.902
0101,2019,48,48,1.17
0101,2019,49,35,0.853
0101,2019,50,40,0.975
0101,2019,51,45,1.097
0101,2019,52,43,1.048
0101,2019,53,14,0.341
0102,2016,2,46,1.048
0102,2016,3,40,0.911
0102,2016,4,31,0.706
0102,2016,5,43,0.979
0102,2016,6,65,1.48
0102,2016,7,50,1.139
0102,2016,8,66,1.503
0102,2016,9,63,1.435
