cluster,地區數量,地區列表,就醫人數年平均,year
0,7,"0101,0102,0110,0111,0118,1200,3101",1629.2129380053907,2016
1,11,"0117,0327,0701,0736,2200,3102,3104,3106,3201,3202,3701",1020.9502572898799,2016
2,25,"0109,0112,0115,0116,0119,0301,0320,0324,0326,0328,0329,0531,0534,0732,0735,3105,3107,3111,3113,3205,3207,3305,3801,3901,4301",589.0875471698113,2016
3,58,"0120,0303,0304,0305,0306,0308,0309,0310,0315,0318,0319,0322,0323,0325,0501,0505,0520,0527,0532,0533,0535,0537,0538,0702,0706,0708,0729,0730,0731,0733,0734,0738,1104,3103,3109,3110,3114,3115,3116,3117,3204,3206,3208,3209,3210,3212,3306,3401,3501,3504,3702,3703,3705,3803,3918,4004,4501,4601",284.7836694860117,2016
4,238,"0302,0307,0311,0312,0313,0314,0316,0317,0321,0502,0503,0504,0506,0507,0508,0509,0510,0511,0512,0513,0514,0515,0516,0517,0518,0519,0521,0522,0523,0524,0525,0526,0528,0529,0530,0703,0704,0705,0707,0709,0710,0711,0712,0713,0714,0715,0716,0717,0718,0719,0720,0721,0722,0723,0724,0726,0728,0737,1101,1102,1103,1105,1106,1107,3108,3112,3118,3119,3120,3121,3122,3123,3124,3125,3126,3127,3128,3129,3203,3211,3213,3301,3302,3303,3307,3308,3309,3310,3311,3312,3313,3314,3402,3403,3404,3405,3406,3407,3408,3409,3410,3411,3412,3502,3503,3505,3506,3507,3508,3509,3510,3511,3512,3513,3514,3515,3516,3517,3518,3704,3706,3707,3708,3709,3710,3711,3712,3713,3714,3715,3716,3717,3718,3719,3720,3721,3722,3723,3724,3725,3726,3802,3804,3805,3806,3807,3808,3809,3810,3811,3812,3813,3902,3903,3904,3905,3906,3907,3908,3909,3910,3911,3912,3913,3914,3915,3916,3917,3919,3920,4001,4002,4003,4005,4006,4007,4008,4009,4010,4011,4012,4013,4014,4015,4016,4018,4302,4303,4304,4305,4306,4307,4308,4309,4310,4311,4312,4313,4314,4315,4316,4317,4318,4319,4320,4321,4322,4323,4324,4325,4326,4328,4329,4330,4331,4332,4333,4502,4503,4504,4505,4506,4507,4509,4510,4511,4512,4513,4602,4603,4604,4605,4606,4607,4608,4609,4610,4613",55.96408752180117,2016
6,8,"0725,0727,4017,4327,4508,4612,4614,4615",4.315512395036053,2016
0,7,"0101,0102,0110,0111,0118,1200,3101",1527.722371967655,2017
1,9,"0117,0327,0701,2200,3102,3104,3106,3201,3202",966.1299790356394,2017
2,27,"0109,0112,0115,0116,0119,0301,0320,0324,0326,0328,0329,0531,0534,0732,0735,0736,3105,3107,3111,3113,3205,3207,3305,3701,3801,3901,4301",560.3221523410202,2017
3,57,"0120,0303,0304,0305,0306,0308,0309,0310,0315,0318,0319,0322,0323,0325,0501,0505,0507,0527,0532,0533,0535,0537,0538,0702,0706,0708,0729,0730,0731,0733,0734,0738,1104,3103,3110,3114,3115,3116,3117,3204,3206,3208,3209,3210,3212,3306,3401,3501,3504,3702,3703,3705,3803,3918,4004,4501,4601",262.6957960940086,2017
4,241,"0302,0307,0311,0312,0313,0314,0316,0317,0321,0502,0503,0504,0506,0508,0509,0510,0511,0512,0513,0514,0515,0516,0517,0518,0519,0520,0521,0522,0523,0524,0525,0526,0528,0529,0530,0703,0704,0705,0707,0709,0710,0711,0712,0713,0714,0715,0716,0717,0718,0719,0720,0721,0722,0723,0724,0726,0727,0728,0737,1101,1102,1103,1105,1106,1107,3108,3109,3112,3118,3119,3120,3121,3122,3123,3124,3125,3126,3127,3128,3129,3203,3211,3213,3301,3302,3303,3307,3308,3309,3310,3311,3312,3313,3314,3402,3403,3404,3405,3406,3407,3408,3409,3410,3411,3412,3502,3503,3505,3506,3507,3508,3509,3510,3511,3512,3513,3514,3515,3516,3517,3518,3704,3706,3707,3708,3709,3710,3711,3712,3713,3714,3715,3716,3717,3718,3719,3720,3721,3722,3723,3724,3725,3726,3802,3804,3805,3806,3807,3808,3809,3810,3811,3812,3813,3902,3903,3904,3905,3906,3907,3908,3909,3910,3911,3912,3913,3914,3915,3916,3917,3919,3920,4001,4002,4003,4005,4006,4007,4008,4009,4010,4011,4012,4013,4014,4015,4016,4018,4302,4303,4304,4305,4306,4307,4308,4309,4310,4311,4312,4313,4314,4315,4316,4317,4318,4319,4320,4321,4322,4323,4324,4325,4326,4328,4329,4330,4331,4332,4333,4502,4503,4504,4505,4506,4507,4509,4510,4511,4512,4513,4602,4603,4604,4605,4606,4607,4608,4609,4610,4613,4615",51.00524543959915,2017
6,6,"0725,4017,4327,4508,4612,4614",3.695655080213904,2017
0,2,"0110,1200",1920.5943396226417,2018
1,9,"0101,0102,0111,0117,0118,3101,3102,3104,3201",1311.545073375262,2018
2,25,"0109,0112,0115,0119,0301,0324,0326,0327,0328,0329,0531,0701,0732,0736,2200,3105,3106,3111,3113,3202,3207,3305,3701,3901,4301",654.9939622641509,2018
3,61,"0116,0120,0303,0304,0305,0306,0308,0309,0310,0315,0318,0319,0320,0322,0323,0325,0501,0505,0507,0527,0532,0533,0534,0535,0537,0538,0702,0706,0708,0729,0730,0731,0733,0734,0735,0738,1104,3103,3107,3110,3114,3115,3117,3204,3205,3206,3208,3209,3210,3306,3401,3501,3504,3702,3703,3705,3801,3803,4004,4501,4601",292.7714197339932,2018
