region,year,month,case_per_capita(‰),PM2.5
中彰投,2016,1,1.54,697.63
中彰投,2016,2,2.027,853.74
中彰投,2016,3,2.053,976.35
中彰投,2016,4,1.16,959.01
中彰投,2016,5,0.987,620.66
中彰投,2016,6,0.992,348.59
中彰投,2016,7,0.976,444.52
中彰投,2016,8,0.947,603.23
中彰投,2016,9,0.98,486.02
中彰投,2016,10,0.823,848.17
中彰投,2016,11,0.965,799.58
中彰投,2016,12,1.337,859.4
中彰投,2017,1,1.584,849.25
中彰投,2017,2,1.923,882.57
中彰投,2017,3,1.75,996.47
中彰投,2017,4,1.581,821.77
中彰投,2017,5,1.192,641.86
中彰投,2017,6,0.961,333.59
中彰投,2017,7,0.976,429.25
中彰投,2017,8,1.01,488.89
中彰投,2017,9,0.841,695.03
中彰投,2017,10,1.178,668.35
中彰投,2017,11,1.199,659.1
中彰投,2017,12,1.752,803.17
中彰投,2018,1,1.852,678.86
中彰投,2018,2,1.819,830.3
中彰投,2018,3,1.924,896.59
中彰投,2018,4,1.482,862.46
中彰投,2018,5,1.087,562.28
中彰投,2018,6,0.82,447.66
中彰投,2018,7,0.947,477.04
中彰投,2018,8,0.88,376.53
中彰投,2018,9,0.879,558.32
中彰投,2018,10,1.188,638.71
中彰投,2018,11,0.994,723.68
中彰投,2018,12,1.284,583.29
中彰投,2019,1,1.615,703.2
中彰投,2019,2,1.273,742.46
中彰投,2019,3,1.291,782.07
中彰投,2019,4,1.224,672.84
中彰投,2019,5,1.035,534.7
中彰投,2019,6,0.899,274.22
中彰投,2019,7,0.947,330.63
中彰投,2019,8,0.889,418.92
中彰投,2019,9,0.901,533.8
中彰投,2019,10,1.12,738.77
中彰投,2019,11,1.292,610.51
中彰投,2019,12,1.61,517.9
北北基桃竹苗,2016,1,1.516,594.55
北北基桃竹苗,2016,2,1.7,615.9
北北基桃竹苗,2016,3,1.901,759.87
北北基桃竹苗,2016,4,1.059,883.01
北北基桃竹苗,2016,5,0.899,596.73
北北基桃竹苗,2016,6,0.871,359.42
北北基桃竹苗,2016,7,0.804,415.13
北北基桃竹苗,2016,8,0.969,433.33
