ID1_CITY,year,month,case_c,case_per_capita(‰)
0101,2016,1,830,22.122
0101,2016,2,904,24.094
0101,2016,3,886,23.614
0101,2016,4,750,19.989
0101,2016,5,722,19.243
0101,2016,6,661,17.617
0101,2016,7,674,17.964
0101,2016,8,713,19.003
0101,2016,9,608,16.205
0101,2016,10,729,19.43
0101,2016,11,802,21.375
0101,2016,12,853,22.735
0101,2017,1,885,22.596
0101,2017,2,809,20.656
0101,2017,3,864,22.06
0101,2017,4,818,20.885
0101,2017,5,822,20.988
0101,2017,6,782,19.966
0101,2017,7,756,19.302
0101,2017,8,666,17.005
0101,2017,9,717,18.307
0101,2017,10,778,19.864
0101,2017,11,834,21.294
0101,2017,12,1006,25.686
0101,2018,1,945,23.138
0101,2018,2,781,19.122
0101,2018,3,963,23.579
0101,2018,4,841,20.592
0101,2018,5,749,18.339
0101,2018,6,730,17.874
0101,2018,7,697,17.066
0101,2018,8,716,17.531
0101,2018,9,731,17.898
0101,2018,10,815,19.955
0101,2018,11,784,19.196
0101,2018,12,898,21.987
0101,2019,1,1008,24.575
0101,2019,2,842,20.528
0101,2019,3,919,22.405
0101,2019,4,899,21.917
0101,2019,5,860,20.966
0101,2019,6,788,19.211
0101,2019,7,781,19.04
0101,2019,8,746,18.187
0101,2019,9,758,18.48
0101,2019,10,869,21.186
0101,2019,11,909,22.161
0101,2019,12,998,24.331
0102,2016,1,987,22.476
0102,2016,2,1012,23.045
0102,2016,3,1024,23.318
0102,2016,4,922,20.996
0102,2016,5,877,19.971
0102,2016,6,748,17.033
0102,2016,7,803,18.286
0102,2016,8,817,18.605
0102,2016,9,747,17.011
0102,2016,10,823,18.741
0102,2016,11,892,20.312
0102,2016,12,985,22.43
0102,2017,1,908,20.759
0102,2017,2,902,20.621
0102,2017,3,1022,23.365
0102,2017,4,945,21.604
0102,2017,5,917,20.964
0102,2017,6,845,19.318
0102,2017,7,788,18.015
0102,2017,8,787,17.992
0102,2017,9,757,17.306
0102,2017,10,899,20.553
0102,2017,11,926,21.17
0102,2017,12,1069,24.439
0102,2018,1,1041,21.428
0102,2018,2,924,19.019
0102,2018,3,1031,21.222
0102,2018,4,962,19.802
0102,2018,5,918,18.896
0102,2018,6,785,16.158
0102,2018,7,780,16.055
0102,2018,8,807,16.611
0102,2018,9,740,15.232
0102,2018,10,955,19.657
0102,2018,11,957,19.699
0102,2018,12,1080,22.23
0102,2019,1,1164,23.904
0102,2019,2,909,18.667
0102,2019,3,1057,21.707
0102,2019,4,1008,20.7
0102,2019,5,972,19.961
0102,2019,6,846,17.373
0102,2019,7,884,18.154
0102,2019,8,876,17.99
0102,2019,9,855,17.558
0102,2019,10,1078,22.138
0102,2019,11,1016,20.865
0102,2019,12,1005,20.639
0109,2016,1,395,21.836
0109,2016,2,401,22.168
0109,2016,3,419,23.163
0109,2016,4,367,20.289
0109,2016,5,328,18.133
0109,2016,6,313,17.303
0109,2016,7,305,16.861
0109,2016,8,324,17.911
0109,2016,9,308,17.027
0109,2016,10,363,20.067
0109,2016,11,402,22.223
0109,2016,12,394,21.781
0109,2017,1,369,20.822
0109,2017,2,331,18.677
0109,2017,3,387,21.837
0109,2017,4,335,18.903
0109,2017,5,351,19.806
0109,2017,6,338,19.072
0109,2017,7,310,17.492
0109,2017,8,271,15.292
0109,2017,9,323,18.226
0109,2017,10,335,18.903
0109,2017,11,359,20.257
0109,2017,12,413,23.304
0109,2018,1,418,21.325
0109,2018,2,360,18.366
0109,2018,3,437,22.295
0109,2018,4,364,18.57
0109,2018,5,342,17.448
0109,2018,6,303,15.458
0109,2018,7,365,18.621
0109,2018,8,343,17.499
0109,2018,9,334,17.04
0109,2018,10,398,20.305
0109,2018,11,399,20.356
0109,2018,12,417,21.274
0109,2019,1,439,22.994
0109,2019,2,339,17.756
0109,2019,3,395,20.689
0109,2019,4,387,20.27
0109,2019,5,358,18.751
0109,2019,6,326,17.075
0109,2019,7,370,19.38
0109,2019,8,343,17.966
0109,2019,9,323,16.918
0109,2019,10,387,20.27
0109,2019,11,382,20.008
0109,2019,12,403,21.108
0110,2016,1,1181,20.041
0110,2016,2,1296,21.993
0110,2016,3,1315,22.315
0110,2016,4,1145,19.43
0110,2016,5,1112,18.87
0110,2016,6,1049,17.801
0110,2016,7,979,16.613
0110,2016,8,1040,17.649
0110,2016,9,1031,17.496
0110,2016,10,1085,18.412
0110,2016,11,1265,21.467
0110,2016,12,1276,21.654
0110,2017,1,1299,22.014
0110,2017,2,1243,21.065
0110,2017,3,1309,22.183
0110,2017,4,1175,19.913
0110,2017,5,1204,20.404
0110,2017,6,1122,19.014
0110,2017,7,1044,17.693
0110,2017,8,941,15.947
0110,2017,9,1013,17.167
0110,2017,10,1069,18.116
0110,2017,11,1189,20.15
0110,2017,12,1348,22.844
0110,2018,1,1316,20.818
0110,2018,2,1200,18.983
0110,2018,3,1343,21.245
0110,2018,4,1162,18.382
0110,2018,5,1158,18.318
0110,2018,6,1020,16.135
0110,2018,7,1049,16.594
0110,2018,8,1026,16.23
0110,2018,9,1032,16.325
0110,2018,10,1218,19.268
0110,2018,11,1227,19.41
0110,2018,12,1336,21.134
0110,2019,1,1516,23.638
0110,2019,2,1176,18.337
0110,2019,3,1347,21.003
0110,2019,4,1288,20.083
0110,2019,5,1219,19.007
0110,2019,6,1169,18.227
0110,2019,7,1157,18.04
0110,2019,8,1096,17.089
0110,2019,9,1197,18.664
0110,2019,10,1329,20.722
0110,2019,11,1317,20.535
0110,2019,12,1480,23.077
0111,2016,1,862,21.878
0111,2016,2,877,22.259
0111,2016,3,898,22.792
0111,2016,4,742,18.832
0111,2016,5,738,18.731
0111,2016,6,660,16.751
0111,2016,7,667,16.929
0111,2016,8,736,18.68
0111,2016,9,664,16.853
0111,2016,10,719,18.249
0111,2016,11,889,22.563
0111,2016,12,947,24.036
0111,2017,1,932,23.053
0111,2017,2,916,22.658
0111,2017,3,943,23.325
0111,2017,4,863,21.347
0111,2017,5,860,21.272
0111,2017,6,778,19.244
0111,2017,7,788,19.491
0111,2017,8,704,17.414
0111,2017,9,741,18.329
0111,2017,10,829,20.506
0111,2017,11,823,20.357
0111,2017,12,1017,25.156
0111,2018,1,991,22.772
0111,2018,2,882,20.267
0111,2018,3,1000,22.978
0111,2018,4,899,20.658
0111,2018,5,782,17.969
0111,2018,6,748,17.188
