ID1_CITY,year,month,case_c,case_per_capita(‰)
0101,2016,1,5717,152.372
0101,2016,2,6788,180.917
0101,2016,3,6540,174.307
0101,2016,4,4852,129.318
0101,2016,5,4324,115.245
0101,2016,6,3614,96.322
0101,2016,7,3349,89.259
0101,2016,8,3845,102.479
0101,2016,9,3760,100.213
0101,2016,10,4011,106.903
0101,2016,11,4806,128.092
0101,2016,12,4990,132.996
0101,2017,1,5234,133.636
0101,2017,2,5028,128.377
0101,2017,3,5421,138.411
0101,2017,4,4654,118.828
0101,2017,5,4621,117.985
0101,2017,6,4275,109.151
0101,2017,7,4086,104.325
0101,2017,8,3493,89.184
0101,2017,9,3570,91.15
0101,2017,10,4294,109.636
0101,2017,11,4760,121.534
0101,2017,12,5679,144.998
0101,2018,1,5911,144.728
0101,2018,2,5254,128.642
0101,2018,3,5661,138.607
0101,2018,4,4674,114.441
0101,2018,5,3945,96.592
0101,2018,6,3505,85.819
0101,2018,7,3493,85.525
0101,2018,8,3855,94.388
0101,2018,9,3982,97.498
0101,2018,10,4665,114.221
0101,2018,11,4387,107.414
0101,2018,12,5216,127.712
0101,2019,1,6135,149.568
0101,2019,2,4981,121.434
0101,2019,3,5267,128.407
0101,2019,4,4724,115.169
0101,2019,5,4578,111.61
0101,2019,6,3889,94.812
0101,2019,7,3754,91.521
0101,2019,8,3615,88.132
0101,2019,9,3896,94.983
0101,2019,10,4600,112.146
0101,2019,11,4848,118.192
0101,2019,12,5450,132.868
0102,2016,1,6166,140.411
0102,2016,2,7469,170.082
0102,2016,3,7109,161.885
0102,2016,4,5412,123.241
0102,2016,5,4808,109.487
0102,2016,6,4023,91.611
0102,2016,7,3769,85.827
0102,2016,8,4248,96.735
0102,2016,9,4174,95.049
0102,2016,10,4463,101.63
0102,2016,11,5310,120.918
0102,2016,12,5652,128.706
0102,2017,1,5512,126.014
0102,2017,2,5309,121.374
0102,2017,3,5709,130.518
0102,2017,4,5039,115.201
0102,2017,5,4940,112.938
0102,2017,6,4596,105.073
0102,2017,7,4383,100.203
0102,2017,8,3710,84.817
0102,2017,9,3944,90.167
0102,2017,10,4586,104.844
0102,2017,11,5049,115.429
0102,2017,12,6083,139.069
0102,2018,1,6630,136.47
0102,2018,2,6041,124.346
0102,2018,3,6264,128.937
0102,2018,4,5213,107.303
0102,2018,5,4494,92.503
0102,2018,6,3917,80.627
0102,2018,7,3914,80.565
0102,2018,8,4211,86.678
0102,2018,9,4393,90.424
0102,2018,10,5062,104.195
0102,2018,11,4951,101.91
0102,2018,12,5769,118.748
0102,2019,1,6749,138.597
0102,2019,2,5574,114.468
0102,2019,3,5693,116.911
0102,2019,4,5197,106.726
0102,2019,5,5017,103.029
0102,2019,6,4286,88.017
0102,2019,7,4272,87.73
0102,2019,8,4021,82.575
0102,2019,9,4322,88.757
0102,2019,10,5105,104.836
0102,2019,11,5392,110.73
0102,2019,12,5961,122.415
0109,2016,1,2748,151.916
0109,2016,2,3215,177.732
0109,2016,3,3036,167.837
0109,2016,4,2313,127.868
0109,2016,5,1971,108.961
0109,2016,6,1659,91.713
0109,2016,7,1595,88.175
0109,2016,8,1748,96.633
0109,2016,9,1750,96.744
0109,2016,10,1863,102.991
0109,2016,11,2291,126.652
0109,2016,12,2425,134.059
0109,2017,1,2278,128.541
0109,2017,2,2244,126.622
0109,2017,3,2323,131.08
0109,2017,4,2143,120.923
0109,2017,5,2087,117.763
0109,2017,6,1907,107.606
0109,2017,7,1842,103.939
0109,2017,8,1503,84.81
0109,2017,9,1572,88.703
0109,2017,10,1852,104.503
0109,2017,11,2122,119.738
0109,2017,12,2505,141.35
0109,2018,1,2670,136.218
0109,2018,2,2430,123.973
0109,2018,3,2612,133.259
0109,2018,4,2109,107.597
0109,2018,5,1865,95.148
0109,2018,6,1601,81.68
0109,2018,7,1590,81.118
0109,2018,8,1692,86.322
0109,2018,9,1711,87.291
0109,2018,10,2110,107.648
0109,2018,11,1939,98.924
0109,2018,12,2250,114.79
0109,2019,1,2627,137.597
0109,2019,2,2201,115.284
