ID1_CITY,year,month,case_c,case_per_capita(‰)
0101,2016,1,39,1.039
0101,2016,2,58,1.546
0101,2016,3,60,1.599
0101,2016,4,44,1.173
0101,2016,5,53,1.413
0101,2016,6,38,1.013
0101,2016,7,37,0.986
0101,2016,8,38,1.013
0101,2016,9,36,0.959
0101,2016,10,47,1.253
0101,2016,11,53,1.413
0101,2016,12,49,1.306
0101,2017,1,55,1.404
0101,2017,2,49,1.251
0101,2017,3,53,1.353
0101,2017,4,59,1.506
0101,2017,5,73,1.864
0101,2017,6,55,1.404
0101,2017,7,51,1.302
0101,2017,8,57,1.455
0101,2017,9,68,1.736
0101,2017,10,75,1.915
0101,2017,11,61,1.557
0101,2017,12,74,1.889
0101,2018,1,76,1.861
0101,2018,2,43,1.053
0101,2018,3,85,2.081
0101,2018,4,83,2.032
0101,2018,5,59,1.445
0101,2018,6,42,1.028
0101,2018,7,60,1.469
0101,2018,8,45,1.102
0101,2018,9,57,1.396
0101,2018,10,68,1.665
0101,2018,11,59,1.445
0101,2018,12,55,1.347
0101,2019,1,79,1.926
0101,2019,2,63,1.536
0101,2019,3,72,1.755
0101,2019,4,64,1.56
0101,2019,5,62,1.512
0101,2019,6,62,1.512
0101,2019,7,59,1.438
0101,2019,8,66,1.609
0101,2019,9,58,1.414
0101,2019,10,63,1.536
0101,2019,11,60,1.463
0101,2019,12,47,1.146
0102,2016,1,48,1.093
0102,2016,2,44,1.002
0102,2016,3,57,1.298
0102,2016,4,60,1.366
0102,2016,5,54,1.23
0102,2016,6,45,1.025
0102,2016,7,47,1.07
0102,2016,8,59,1.344
0102,2016,9,45,1.025
0102,2016,10,51,1.161
0102,2016,11,53,1.207
0102,2016,12,58,1.321
0102,2017,1,55,1.257
0102,2017,2,62,1.417
0102,2017,3,72,1.646
0102,2017,4,57,1.303
0102,2017,5,72,1.646
0102,2017,6,68,1.555
0102,2017,7,70,1.6
0102,2017,8,67,1.532
0102,2017,9,62,1.417
0102,2017,10,66,1.509
0102,2017,11,77,1.76
0102,2017,12,85,1.943
0102,2018,1,78,1.606
0102,2018,2,72,1.482
0102,2018,3,75,1.544
0102,2018,4,86,1.77
0102,2018,5,86,1.77
0102,2018,6,80,1.647
0102,2018,7,75,1.544
0102,2018,8,82,1.688
0102,2018,9,63,1.297
0102,2018,10,74,1.523
0102,2018,11,87,1.791
0102,2018,12,74,1.523
0102,2019,1,92,1.889
0102,2019,2,56,1.15
0102,2019,3,87,1.787
0102,2019,4,92,1.889
0102,2019,5,97,1.992
0102,2019,6,73,1.499
0102,2019,7,79,1.622
0102,2019,8,71,1.458
0102,2019,9,68,1.396
0102,2019,10,72,1.479
0102,2019,11,69,1.417
0102,2019,12,90,1.848
0109,2016,1,21,1.161
0109,2016,2,23,1.271
0109,2016,3,35,1.935
0109,2016,4,20,1.106
0109,2016,5,18,0.995
0109,2016,6,22,1.216
0109,2016,7,22,1.216
0109,2016,8,21,1.161
0109,2016,9,28,1.548
0109,2016,10,28,1.548
0109,2016,11,20,1.106
0109,2016,12,26,1.437
0109,2017,1,19,1.072
0109,2017,2,19,1.072
0109,2017,3,22,1.241
0109,2017,4,32,1.806
0109,2017,5,23,1.298
0109,2017,6,18,1.016
0109,2017,7,25,1.411
0109,2017,8,19,1.072
0109,2017,9,18,1.016
0109,2017,10,18,1.016
0109,2017,11,20,1.129
0109,2017,12,26,1.467
0109,2018,1,39,1.99
0109,2018,2,25,1.275
0109,2018,3,37,1.888
0109,2018,4,29,1.48
0109,2018,5,36,1.837
0109,2018,6,25,1.275
0109,2018,7,31,1.582
0109,2018,8,41,2.092
0109,2018,9,24,1.224
0109,2018,10,36,1.837
0109,2018,11,32,1.633
0109,2018,12,33,1.684
0109,2019,1,34,1.781
0109,2019,2,28,1.467
0109,2019,3,33,1.728
0109,2019,4,26,1.362
0109,2019,5,28,1.467
0109,2019,6,32,1.676
0109,2019,7,30,1.571
0109,2019,8,32,1.676
0109,2019,9,26,1.362
0109,2019,10,27,1.414
0109,2019,11,30,1.571
0109,2019,12,32,1.676
0110,2016,1,69,1.171
0110,2016,2,79,1.341
0110,2016,3,75,1.273
0110,2016,4,68,1.154
0110,2016,5,91,1.544
0110,2016,6,72,1.222
0110,2016,7,79,1.341
0110,2016,8,78,1.324
0110,2016,9,75,1.273
0110,2016,10,78,1.324
0110,2016,11,80,1.358
0110,2016,12,101,1.714
0110,2017,1,83,1.407
0110,2017,2,91,1.542
0110,2017,3,98,1.661
0110,2017,4,75,1.271
0110,2017,5,89,1.508
0110,2017,6,88,1.491
0110,2017,7,71,1.203
0110,2017,8,74,1.254
0110,2017,9,83,1.407
0110,2017,10,83,1.407
0110,2017,11,84,1.424
0110,2017,12,84,1.424
0110,2018,1,106,1.677
